representation,projection,seed,native_dim,probe_dim,stage_c,boundary_c,boundary_threshold,stage_macro_f1,stage_balanced_accuracy,stage_0_precision,stage_0_recall,stage_1_precision,stage_1_recall,terminal_test_samples,probe_latency_ms_per_sample,feature_hook_latency_ms_per_step,model_inference_latency_ms_per_step,peak_vram_bytes,host_rss_delta_bytes,boundary_event_f1_at_5,boundary_event_f1_at_10,boundary_median_abs_error,false_boundaries_per_episode,no_boundary_failure_fpr
R3b_vision_tokens,native,53,2048,2048,0.01,0.01,0.7,0.9838708821109077,0.9838709677419355,0.981651376146789,0.9861751152073732,0.9861111111111112,0.9815668202764977,12,0.0031823839911924146,0.03566764909143482,209.84981611801186,6387723264,0,0.0,0.0,20.5,1.1666666666666667,nan
R3b_vision_tokens,native,67,2048,2048,100.0,0.01,0.95,0.9931770712462289,0.9935897435897436,0.9857142857142858,1.0,1.0,0.9871794871794872,12,0.0032076133786875746,0.03473031777099169,208.02734632147553,6387723264,0,0.25,0.5,10.0,1.3333333333333333,nan
R3b_vision_tokens,common_256,17,2048,256,0.1,0.1,0.75,0.9899718508092892,0.9899718508092892,0.9901477832512315,0.9901477832512315,0.9897959183673469,0.9897959183673469,12,0.0006899323308520033,0.0353151189868147,207.66326614266953,6387723264,0,0.0,0.4166666666666667,11.5,1.1666666666666667,nan
R3b_vision_tokens,common_256,29,2048,256,1.0,0.01,0.95,0.8981919358377644,0.9086579592767923,0.9782608695652174,0.8426966292134831,0.8205128205128205,0.9746192893401016,11,0.0006258726395705673,0.033624227706486993,205.81048477800132,6387723264,0,0.18181818181818182,0.45454545454545453,14.0,1.1666666666666667,0.0
R3b_vision_tokens,common_256,41,2048,256,1.0,0.01,0.65,0.8850724369150338,0.9026199788911653,0.9826086956521739,0.8278388278388278,0.7863636363636364,0.9774011299435028,11,0.0006320986868660031,0.03353342980651244,205.0831428423303,6387723264,0,0.0,0.0,21.0,1.4166666666666667,1.0
R3b_vision_tokens,common_256,53,2048,256,0.01,0.01,0.75,0.9815664288141353,0.9815668202764977,0.9771689497716894,0.9861751152073732,0.986046511627907,0.9769585253456221,12,0.0006377127829783776,0.03566764909143482,209.84981611801186,6387723264,0,0.0,0.0,20.0,1.0833333333333333,nan
R3b_vision_tokens,common_256,67,2048,256,0.01,0.01,0.9,0.9954477889260498,0.9954477889260498,0.9951690821256038,0.9951690821256038,0.9957264957264957,0.9957264957264957,12,0.0006546077097457028,0.03473031777099169,208.02734632147553,6387723264,0,0.08333333333333333,0.25,16.5,1.6666666666666667,nan
R4_action_encoder,native,17,1536,1536,10.0,0.01,0.95,0.8871726876841967,0.8871393384940183,0.8872549019607843,0.8916256157635468,0.8871794871794871,0.8826530612244898,12,0.0067632835087803175,0.0353151189868147,207.66326614266953,6387723264,0,0.2857142857142857,0.7619047619047619,7.0,1.0,nan
R4_action_encoder,native,29,1536,1536,10.0,0.01,0.95,0.794983419144493,0.808123728587996,0.9018691588785047,0.7228464419475655,0.704,0.8934010152284264,11,0.0020484457101760984,0.033624227706486993,205.81048477800132,6387723264,0,0.43478260869565216,0.6956521739130435,6.0,1.6666666666666667,1.0
R4_action_encoder,native,41,1536,1536,10.0,0.01,0.9,0.7933966783775153,0.8106413360650648,0.905829596412556,0.73992673992674,0.6872246696035242,0.8813559322033898,11,0.003341099090903299,0.03353342980651244,205.0831428423303,6387723264,0,0.08695652173913043,0.2608695652173913,16.0,1.75,1.0
